Key,Value
CVS PHARMACY ,10
ZETA BETA TAU ,10
PHI GAMMA DELTA ,10
BRIDGE MEMORIAL HALL ,10
ADAMS BL & HOOVER ST ,10
ADAMS BL & FIGUEROA ST ,10
THE MANSION ,10
ALPHA GAMMA OMEGA ,10
THE ROW HOUSE ,10
COLISEUM ,10
JEFFERSON BL & ORCHARD AV ,10
35TH ST ,10
SEAVER SCIENCE LIBRARY ,10
34TH ST & FIGUEROA ST ,10
TROYLAND APARTMENTS ,10
ALPHA DELTA PI ,10
LA SORBONNE APARTMENTS ,10
ADAMS BL & MENLO AV ,9
SHRINE PL ,9
CAMPUS DEVELOPMENT & FACILITIES BUILDING ,9
SEVERANCE ST ,9
25TH ST ,9
36TH ST ,9
LINCOLN PARK ,9
MAGNOLIA AV ,9
RAY R. IRANI HALL ,9
KATHERINE B. LOKER TRACK STADIUM ,9
HILLVIEW APARTMENTS ,9
27TH ST & FIGUEROA ST ,9
TERRACE APARTMENTS ,9
JACK IN THE BOX ,9
JOHN STAUFFER SCIENCE LECTURE HALL ,9
GALEN ATHLETIC PAVILION ,9
30TH ST & ROYAL ST ,9
HENRY SALVATORI COMPUTER SCIENCE CENTER ,9
VISTA APARTMENTS ,8
TROJAN PLAZA ,8
ALPHA PHI ,8
CORWIN D. DENNEY RESEARCH CENTER ,8
ADAMS BL & VERMONT AV ,8
VALLEY WAREHOUSE BUILDING ,8
29TH ST & ELLENDALE PL ,8
THETA XI ,8
OUR SAVIOR PARISH & USC CARUSO CATHOLIC CENTER ,8
BLANCHE & FRANK R. SEAVER STUDENT RESIDENCE HALL ,8
TRANSPORTATION MAINTENANCE YARD ,8
CLINICAL SCIENCE CENTER ,8
PHI SIGMA KAPPA ,8
29TH ST & HOOVER ST ,8
PARKING LOT L ,8
EXPOSITION BL & FIGUEROA ST ,8
CATALINA ST ,8
CITY PARK ,8
MENLO APARTMENTS ,7
ROYAL ST ,7
PARKING LOT V ,7
OLYMPIC GARDENS ,7
NORRIS TOPPING TOWERS ,7
VIVIAN HALL OF ENGINEERING ,7
HOOVER ST ,7
PI KAPPA PHI ,7
THE MUSIC COMPLEX ,7
ADAMS BL & SEVERANCE ST ,7
HERITAGE HALL ,7
ETHEL PERCY ANDRUS GERONTOLOGY CENTER ,7
MONMOUTH AV ,7
USC CREDIT UNION BUILDING ,7
JEFFERSON BL & ROYAL ST ,7
LOS ANGELES MEMORIAL COLISEUM ,7
UNIVERSITY GARDEN APTS ,7
MARDETTE APTS. ,7
PORTLAND VILLA ,7
JOHN G. BROOKS MEMORIAL PAVILION & DEDEAUX FIELD ,6
HEDCO NEUROSCIENCES BUILDING ,6
JOHN HUBBARD HALL ,6
VERMONT AV ,6
23RD ST & PORTLAND ST ,6
35TH ST & HOPE ST ,6
UNITED UNIVERSITY CHURCH ,6
28TH ST & SEVERANCE ST ,6
JEFFERSON BL & WALTON AV ,6
SMART & FINAL ,6
36TH PL & CATALINA ST ,6
GLORYA KAUFMAN INTERNATIONAL DANCE CENTER ,6
