#TYPE System.Collections.DictionaryEntry,,,
Name,Key,Value,
PI BETA PHI ,PI BETA PHI ,3,0.000627484
ROBERT GLEN RAPP ENGINEERING RESEARCH BUILDING ,ROBERT GLEN RAPP ENGINEERING RESEARCH BUILDING ,3,0.000627484
34TH ST & WATT WY ,34TH ST & WATT WY ,3,0.000627484
VAGABOND MOTEL ,VAGABOND MOTEL ,3,0.000627484
HILLEL JEWISH CENTER ,HILLEL JEWISH CENTER ,3,0.000627484
BIEGLER HALL OF ENGINEERING ,BIEGLER HALL OF ENGINEERING ,3,0.000627484
EXPOSITION BL ,EXPOSITION BL ,3,0.000627484
KAPPA KAPPA GAMMA ,KAPPA KAPPA GAMMA ,3,0.000627484
ZILKHA NEUROGENETIC INSTITUTE ,ZILKHA NEUROGENETIC INSTITUTE ,3,0.000627484
DUNES APTS. ,DUNES APTS. ,2,0.000418323
MAX KADE CENTER ,MAX KADE CENTER ,2,0.000418323
37TH ST & FLOWER ST ,37TH ST & FLOWER ST ,2,0.000418323
CENTURY APARTMENTS ALLEY ,CENTURY APARTMENTS ALLEY ,2,0.000418323
CARDINAL 'N' GOLD ,CARDINAL 'N' GOLD ,2,0.000418323
ALPHA DELTA CHI ,ALPHA DELTA CHI ,2,0.000418323
32ND STREET SCHOOL ,32ND STREET SCHOOL ,2,0.000418323
VALLEY BOULEVARD BUILDING ,VALLEY BOULEVARD BUILDING ,2,0.000418323
JOINT EDUCATIONAL PROJECT HOUSE ,JOINT EDUCATIONAL PROJECT HOUSE ,2,0.000418323
THE SPOT ,THE SPOT ,2,0.000418323
MCKIBBEN HALL ,MCKIBBEN HALL ,2,0.000418323
HEDCO PETROLEUM & CHEMICAL ENGINEERING BUILDING ,HEDCO PETROLEUM & CHEMICAL ENGINEERING BUILDING ,2,0.000418323
LAMBDA CH ,LAMBDA CH ,2,0.000418323
AVALON APARTMENTS ,AVALON APARTMENTS ,2,0.000418323
RADISSON HOTEL RESTAURANT ,RADISSON HOTEL RESTAURANT ,2,0.000418323
23RD ST & FLOWER ST ,23RD ST & FLOWER ST ,2,0.000418323
WIDNEY ALUMNI HOUSE ,WIDNEY ALUMNI HOUSE ,2,0.000418323
THE COFFEE BEAN AND TEA LEAF ,THE COFFEE BEAN AND TEA LEAF ,2,0.000418323
OFF CAMPUS CHECK AREA D ,OFF CAMPUS CHECK AREA D ,2,0.000418323
THE TOWER APARTMENTS ,THE TOWER APARTMENTS ,2,0.000418323
JEFFERSON BL & GRAND AV ,JEFFERSON BL & GRAND AV ,2,0.000418323
36TH ST & BUDLONG AV ,36TH ST & BUDLONG AV ,2,0.000418323
PAD APTS ,PAD APTS ,2,0.000418323
27TH ST & MAGNOLIA ST ,27TH ST & MAGNOLIA ST ,2,0.000418323
MOUNT SAINT MARY'S ,MOUNT SAINT MARY'S ,2,0.000418323
32ND ST & SHRINE PL ,32ND ST & SHRINE PL ,2,0.000418323
MEN LO AV ,MEN LO AV ,2,0.000418323
SAN PABLO ST & EASTLAKE AV ,SAN PABLO ST & EASTLAKE AV ,2,0.000418323
UNIVERSITY VILLAGE ONE ,UNIVERSITY VILLAGE ONE ,2,0.000418323
SHRINE PARKING STRUCTURE ,SHRINE PARKING STRUCTURE ,2,0.000418323
DMV OLD ,DMV OLD ,2,0.000418323
THE MIRAGE ,THE MIRAGE ,2,0.000418323
BLANCHE & FRANK R. SEAVER STUDENT RESIDENCE HALL ,BLANCHE & FRANK R. SEAVER STUDENT RESIDENCE HALL ,2,0.000418323
SEVEN ELEVEN ,SEVEN ELEVEN ,2,0.000418323
FIGUEROA ST ,FIGUEROA ST ,2,0.000418323
VISTA APARTMENTS ,VISTA APARTMENTS ,2,0.000418323
VAN BUREN PL ,VAN BUREN PL ,2,0.000418323
PARK GROVE AV ,PARK GROVE AV ,2,0.000418323
TROJANDALE ,TROJANDALE ,2,0.000418323
JOHN STAUFFER PHARMACEUTICAL SCIENCES CENTER ,JOHN STAUFFER PHARMACEUTICAL SCIENCES CENTER ,2,0.000418323
HEBREW UNION COLLEGE ,HEBREW UNION COLLEGE ,2,0.000418323
USC EYE INSTITUTE ,USC EYE INSTITUTE ,2,0.000418323
PACIFIC APARTMENTS ,PACIFIC APARTMENTS ,2,0.000418323
MENLO TOWNHOUSE ,MENLO TOWNHOUSE ,2,0.000418323
BROAD CTR. FOR REGEN. MED. & STEM CELL RESEARCH ,BROAD CTR. FOR REGEN. MED. & STEM CELL RESEARCH ,2,0.000418323
MOON APTS ,MOON APTS ,2,0.000418323
CHASE ,CHASE ,2,0.000418323
29TH ST & KENWOOD AV ,29TH ST & KENWOOD AV ,2,0.000418323
BING THEATRE ,BING THEATRE ,2,0.000418323
CENTRAL RECEIVING NEW ,CENTRAL RECEIVING NEW ,2,0.000418323
JOHN TRACY CLINIC ,JOHN TRACY CLINIC ,2,0.000418323
27TH ST & VERMONT AV ,27TH ST & VERMONT AV ,2,0.000418323
HELENA APARTMENTS ,HELENA APARTMENTS ,2,0.000418323
DELTA TAU DELTA ,DELTA TAU DELTA ,2,0.000418323
CINEMA TELEVISION CENTER COMPLEX ,CINEMA TELEVISION CENTER COMPLEX ,2,0.000418323
KAPPA SIGMA ,KAPPA SIGMA ,2,0.000418323
OAK ST ,OAK ST ,2,0.000418323
COCKINS HOUSE ,COCKINS HOUSE ,2,0.000418323
NORRIS MEDICAL LIBRARY ,NORRIS MEDICAL LIBRARY ,2,0.000418323
PARKING LOT B ,PARKING LOT B ,2,0.000418323
ADAMS BL & ORCHARD ST ,ADAMS BL & ORCHARD ST ,2,0.000418323
24TH ST ,24TH ST ,2,0.000418323
DOWNEY WY & WATT WY ,DOWNEY WY & WATT WY ,2,0.000418323
PALISADES ,PALISADES ,2,0.000418323
SCHOOL OF CINEMATIC ARTS-BLDG. B ,SCHOOL OF CINEMATIC ARTS-BLDG. B ,2,0.000418323
DELTA SIGMA DELTA ,DELTA SIGMA DELTA ,2,0.000418323
UNIVERSITY REGENT ,UNIVERSITY REGENT ,2,0.000418323
EGG COMPANY ,EGG COMPANY ,2,0.000418323
YOGURTLAND ,YOGURTLAND ,2,0.000418323
NORWOOD ST ,NORWOOD ST ,2,0.000418323
LENICIA B. WEEMES ELEMENTARY SCHOOL ,LENICIA B. WEEMES ELEMENTARY SCHOOL ,2,0.000418323
FLOWER ST ,FLOWER ST ,2,0.000418323
35TH ST & GRAND AV ,35TH ST & GRAND AV ,2,0.000418323
24TH ST & VERMONT AV ,24TH ST & VERMONT AV ,2,0.000418323
ADAMS BL & MAGNOLIA ST ,ADAMS BL & MAGNOLIA ST ,2,0.000418323
ADAMS BL & SCARFF ST ,ADAMS BL & SCARFF ST ,2,0.000418323
25TH ST & HOOVER ST ,25TH ST & HOOVER ST ,2,0.000418323
SAN PABLO ST & VALLEY BL ,SAN PABLO ST & VALLEY BL ,2,0.000418323
DRAMA CENTER ,DRAMA CENTER ,2,0.000418323
EXPOSITION BL & FLOWER ST ,EXPOSITION BL & FLOWER ST ,2,0.000418323
ALPHA GAMMA DELTA ,ALPHA GAMMA DELTA ,2,0.000418323
30TH ST &VERMONT AV ,30TH ST &VERMONT AV ,2,0.000418323
SPORTS ARENA ,SPORTS ARENA ,2,0.000418323
37TH PL & WATT WY ,37TH PL & WATT WY ,2,0.000418323
TROJAN HEIGHTS ,TROJAN HEIGHTS ,2,0.000418323
JEFFERSON BL & CATALINA ST ,JEFFERSON BL & CATALINA ST ,2,0.000418323
27TH ST & RAYMOND AV ,27TH ST & RAYMOND AV ,2,0.000418323
37TH ST & RAYMOND AV ,37TH ST & RAYMOND AV ,2,0.000418323
37TH ST & GRAND AV ,37TH ST & GRAND AV ,2,0.000418323
ANNA BING ARNOLD CHILD CARE CENTER ,ANNA BING ARNOLD CHILD CARE CENTER ,2,0.000418323
ZONAL LOT ,ZONAL LOT ,2,0.000418323
HOWARD JONES FOOTBALL PRACTICE FIELD ,HOWARD JONES FOOTBALL PRACTICE FIELD ,2,0.000418323
27TH ST & HOOVER ST ,27TH ST & HOOVER ST ,2,0.000418323
28TH ST & VERMONT AV ,28TH ST & VERMONT AV ,2,0.000418323
SENATOR APARTMENTS ,SENATOR APARTMENTS ,2,0.000418323
MCCULLOCH TOWNHOMES ,MCCULLOCH TOWNHOMES ,2,0.000418323
OUR SAVIOR PARISH & USC CARUSO CATHOLIC CENTER ,OUR SAVIOR PARISH & USC CARUSO CATHOLIC CENTER ,2,0.000418323
GAMMA PHI BETA ,GAMMA PHI BETA ,2,0.000418323
TROJAN TERRACE ,TROJAN TERRACE ,2,0.000418323
37TH ST & HOPE ST ,37TH ST & HOPE ST ,2,0.000418323
ANA BING ARNOLD CHILD CARE CENTER ANNEX ,ANA BING ARNOLD CHILD CARE CENTER ANNEX ,2,0.000418323
BLOOM WK & TROUSDALE PKY ,BLOOM WK & TROUSDALE PKY ,2,0.000418323
ADAMS BL & SEVERANCE ST ,ADAMS BL & SEVERANCE ST ,2,0.000418323
MARGARITA BAR ,MARGARITA BAR ,2,0.000418323
BEEF BOWL ,BEEF BOWL ,1,0.000209161
FAIRMONT APARTMENTS ALLEY ,FAIRMONT APARTMENTS ALLEY ,1,0.000209161
SOTO ST & MEDFORD ST ,SOTO ST & MEDFORD ST ,1,0.000209161
31ST ST & ORCHARD AV ,31ST ST & ORCHARD AV ,1,0.000209161
SHRINE PLACE APARTMENTS ,SHRINE PLACE APARTMENTS ,1,0.000209161
28TH ST & FLOWER ST ,28TH ST & FLOWER ST ,1,0.000209161
KAPPA ALPHA ,KAPPA ALPHA ,1,0.000209161
EARLY CHILDHOOD TRAINING CENTER ,EARLY CHILDHOOD TRAINING CENTER ,1,0.000209161
HOOVER RECREATION CENTER ,HOOVER RECREATION CENTER ,1,0.000209161
UNIVERSITY VILLAGE SEVEN ,UNIVERSITY VILLAGE SEVEN ,1,0.000209161
DMV NEW ,DMV NEW ,1,0.000209161
KECK MEDICINE DOWNTOWN ,KECK MEDICINE DOWNTOWN ,1,0.000209161
30TH PL & VERMONT AV ,30TH PL & VERMONT AV ,1,0.000209161
CHILDS WY & MCCLINTOCK AV ,CHILDS WY & MCCLINTOCK AV ,1,0.000209161
35TH PL & BUDLONG AV ,35TH PL & BUDLONG AV ,1,0.000209161
UNION STATION ,UNION STATION ,1,0.000209161
EILEEN L. NORRIS CINEMA THEATRE ,EILEEN L. NORRIS CINEMA THEATRE ,1,0.000209161
AAA ,AAA ,1,0.000209161
OFF CAMPUS CHECK AREA A ,OFF CAMPUS CHECK AREA A ,1,0.000209161
MOBIL ,MOBIL ,1,0.000209161
LA BICYCLES ,LA BICYCLES ,1,0.000209161
30TH ST & NORMANDIE AV ,30TH ST & NORMANDIE AV ,1,0.000209161
SOTO STREET BUILDING ANNEX ,SOTO STREET BUILDING ANNEX ,1,0.000209161
36TH PL &VERMONT AV ,36TH PL &VERMONT AV ,1,0.000209161
ALPHA RHO CHI ,ALPHA RHO CHI ,1,0.000209161
METRO STATION EXPONERMONT ,METRO STATION EXPONERMONT ,1,0.000209161
THE BUNGALOWS ,THE BUNGALOWS ,1,0.000209161
NORWOOD ELEMENTARY SCHOOL ,NORWOOD ELEMENTARY SCHOOL ,1,0.000209161
TOBERMAN ST ,TOBERMAN ST ,1,0.000209161
ST. MARKS LUTHERAN CHURCH ,ST. MARKS LUTHERAN CHURCH ,1,0.000209161
EASTLAKE LOT ,EASTLAKE LOT ,1,0.000209161
JEFFERSON BL & MCCLINTOCKAV ,JEFFERSON BL & MCCLINTOCKAV ,1,0.000209161
GOODWILL ,GOODWILL ,1,0.000209161
CAMPUS DEVELOPMENT& FACILITIES BUILDING ,CAMPUS DEVELOPMENT& FACILITIES BUILDING ,1,0.000209161
35TH PL ,35TH PL ,1,0.000209161
CHILDS WY & FIGUEROA ST ,CHILDS WY & FIGUEROA ST ,1,0.000209161
BIGGY ST & EASTLAKE AV ,BIGGY ST & EASTLAKE AV ,1,0.000209161
MICHELSON CENTER FOR CONVERGENT BIOSCIENCE ,MICHELSON CENTER FOR CONVERGENT BIOSCIENCE ,1,0.000209161
ALTAMED HEALTH CENTER ,ALTAMED HEALTH CENTER ,1,0.000209161
ROYAL STREET HOUSE ,ROYAL STREET HOUSE ,1,0.000209161
CHICAGO AV ,CHICAGO AV ,1,0.000209161
JEFFERSON BL & VAN BUREN PL ,JEFFERSON BL & VAN BUREN PL ,1,0.000209161
DOWN EY WY & WATT WY ,DOWN EY WY & WATT WY ,1,0.000209161
MCKIBBEN ADDITION ,MCKIBBEN ADDITION ,1,0.000209161
EL HUERO ,EL HUERO ,1,0.000209161
24TH ST & HOOVER ST ,24TH ST & HOOVER ST ,1,0.000209161
EASTLAKE AV ,EASTLAKE AV ,1,0.000209161
BONSALLO AV ,BONSALLO AV ,1,0.000209161
DOWNEY WY & TROUSDALE PKY ,DOWNEY WY & TROUSDALE PKY ,1,0.000209161
SOTO ST & MARENGO ST ,SOTO ST & MARENGO ST ,1,0.000209161
UNION AV ,UNION AV ,1,0.000209161
PISA ,PISA ,1,0.000209161
37TH PL & RAYMOND AV ,37TH PL & RAYMOND AV ,1,0.000209161
35TH PL & NORMANDIE AV ,35TH PL & NORMANDIE AV ,1,0.000209161
HSC PUBLIC SAFETY OFFICE ,HSC PUBLIC SAFETY OFFICE ,1,0.000209161
LAFD STATION ,LAFD STATION ,1,0.000209161
37TH PL & FLOWER ST ,37TH PL & FLOWER ST ,1,0.000209161
VIRGINIA RAMO HALL OF MUSIC ,VIRGINIA RAMO HALL OF MUSIC ,1,0.000209161
CAL MART BEER & WINE FOOD STORE ,CAL MART BEER & WINE FOOD STORE ,1,0.000209161
32ND ST & ROYAL ST ,32ND ST & ROYAL ST ,1,0.000209161
COLLEGE HOUSE ,COLLEGE HOUSE ,1,0.000209161
CHICK-FIL-A ,CHICK-FIL-A ,1,0.000209161
30TH ST & SHRINE PL ,30TH ST & SHRINE PL ,1,0.000209161
31ST ST & HOPE ST ,31ST ST & HOPE ST ,1,0.000209161
22ND ST ,22ND ST ,1,0.000209161
SIGMA PHI DELTA ,SIGMA PHI DELTA ,1,0.000209161
COUNTY GENERAL HOSPITAL ,COUNTY GENERAL HOSPITAL ,1,0.000209161
35TH ST & VERMONT AV ,35TH ST & VERMONT AV ,1,0.000209161
ALICE AND ELEONORE SCHOENFELD SYMPHONIC HALL ,ALICE AND ELEONORE SCHOENFELD SYMPHONIC HALL ,1,0.000209161
TECHNICAL THEATRE LABORATORY ,TECHNICAL THEATRE LABORATORY ,1,0.000209161
31ST ST & FIGUEROA ST ,31ST ST & FIGUEROA ST ,1,0.000209161
CHANO'S ,CHANO'S ,1,0.000209161
GRINDER ,GRINDER ,1,0.000209161
REGAL TROJAN ARMS ,REGAL TROJAN ARMS ,1,0.000209161
UNIVERSITY PRESIDENT'S HOME ,UNIVERSITY PRESIDENT'S HOME ,1,0.000209161
MISSION RD & GRIFFITH AV ,MISSION RD & GRIFFITH AV ,1,0.000209161
DELTA GAMMA ,DELTA GAMMA ,1,0.000209161
GOOD SAMARITAN HOSPITAL ,GOOD SAMARITAN HOSPITAL ,1,0.000209161
GREEK ESCAPE ,GREEK ESCAPE ,1,0.000209161
MARTI GRAS APTS. ,MARTI GRAS APTS. ,1,0.000209161
23RD ST & FIGUEROA ST ,23RD ST & FIGUEROA ST ,1,0.000209161
HEALTH SCIENCE CAMPUS CHILD CARE CENTER ,HEALTH SCIENCE CAMPUS CHILD CARE CENTER ,1,0.000209161
USC SCHOOL OF CINEMATIC ARTS STATION ,USC SCHOOL OF CINEMATIC ARTS STATION ,1,0.000209161
38TH ST & FLOWER ST ,38TH ST & FLOWER ST ,1,0.000209161
PARKING LOT SSRI ,PARKING LOT SSRI ,1,0.000209161
CHEVRON ,CHEVRON ,1,0.000209161
CURRIE HALL ,CURRIE HALL ,1,0.000209161
27TH ST & FLOWER ST ,27TH ST & FLOWER ST ,1,0.000209161
CITY PARKII APTS. ,CITY PARKII APTS. ,1,0.000209161
EC2 BUILDING ,EC2 BUILDING ,1,0.000209161
39TH ST & FIGUEROA ST ,39TH ST & FIGUEROA ST ,1,0.000209161
BETA OMEGA PHI ,BETA OMEGA PHI ,1,0.000209161
NORFOLK ST & PLAYGROUND ST ,NORFOLK ST & PLAYGROUND ST ,1,0.000209161
CARDINAL GARDENS ALLEY ,CARDINAL GARDENS ALLEY ,1,0.000209161
USC BUILDING ONE ,USC BUILDING ONE ,1,0.000209161
BELAIRE APARTMENTS ,BELAIRE APARTMENTS ,1,0.000209161
ROW APTS ,ROW APTS ,1,0.000209161
VERMONT AVENUE ELEMENTARY SCHOOL ,VERMONT AVENUE ELEMENTARY SCHOOL ,1,0.000209161
HEALTH SCIENCE ALHAMBRA BUILDING ,HEALTH SCIENCE ALHAMBRA BUILDING ,1,0.000209161
VERDUGO HILLS HOSPITAL ,VERDUGO HILLS HOSPITAL ,1,0.000209161
HEALTH RESEARCH ASSOCIATION ,HEALTH RESEARCH ASSOCIATION ,1,0.000209161
37TH ST & VERMONT AV ,37TH ST & VERMONT AV ,1,0.000209161
23RD ST & PARK GROVE AV ,23RD ST & PARK GROVE AV ,1,0.000209161
EXPOSITION BL & PARDEE WY ,EXPOSITION BL & PARDEE WY ,1,0.000209161
STATE ST & ZONAL AV ,STATE ST & ZONAL AV ,1,0.000209161
UNIVERSITY VILLAGE EIGHT ,UNIVERSITY VILLAGE EIGHT ,1,0.000209161
WASH & DRY LAVANDERIA ,WASH & DRY LAVANDERIA ,1,0.000209161
BELAIRE APARTMENTS ALLEY ,BELAIRE APARTMENTS ALLEY ,1,0.000209161
HAZEL & STANLEY HALL FINANCIAL SERVICES BUILDING ,HAZEL & STANLEY HALL FINANCIAL SERVICES BUILDING ,1,0.000209161
GRADUATE FRAT HOUSE ,GRADUATE FRAT HOUSE ,1,0.000209161
24TH ST & MAGNOLIA AV ,24TH ST & MAGNOLIA AV ,1,0.000209161
23RD ST & UNION ST ,23RD ST & UNION ST ,1,0.000209161
ARCO ,ARCO ,1,0.000209161
METRO STATION EXPO PARK ,METRO STATION EXPO PARK ,1,0.000209161
UNIVERSITY VILLAGE NINE ,UNIVERSITY VILLAGE NINE ,1,0.000209161
33RD ST & FLOWER ST ,33RD ST & FLOWER ST ,1,0.000209161
LA84 FOUNDATION/JOHN C. ARGUE SWIM STADIUM ,LA84 FOUNDATION/JOHN C. ARGUE SWIM STADIUM ,1,0.000209161
ST. AGNES CHURCH ,ST. AGNES CHURCH ,1,0.000209161
KERCKHOFF CARRIAGE HOUSE ,KERCKHOFF CARRIAGE HOUSE ,1,0.000209161
31ST ST & FLOWER ST ,31ST ST & FLOWER ST ,1,0.000209161
CONSOLIDATED PARKING LOT ,CONSOLIDATED PARKING LOT ,1,0.000209161
29TH ST & FIGUEROA ST ,29TH ST & FIGUEROA ST ,1,0.000209161
JAMES & JILL FERTITTA HALL ,JAMES & JILL FERTITTA HALL ,1,0.000209161
KECK MEDICINE PASADENA ,KECK MEDICINE PASADENA ,1,0.000209161
37TH PL &VERMONT AV ,37TH PL &VERMONT AV ,1,0.000209161
AHMANSON CENTER FOR BIOLOGICAL RESEARCH ,AHMANSON CENTER FOR BIOLOGICAL RESEARCH ,1,0.000209161
O'NEIL WAREHOUSE ,O'NEIL WAREHOUSE ,1,0.000209161
37TH PL & FIGUEROA ST ,37TH PL & FIGUEROA ST ,1,0.000209161
REGAL RITA ,REGAL RITA ,1,0.000209161
FIGUEROA BUILDING ,FIGUEROA BUILDING ,1,0.000209161
30TH ST & GRAND AV ,30TH ST & GRAND AV ,1,0.000209161
MCDONALDS OLYMPIC SWIM STADIUM ,MCDONALDS OLYMPIC SWIM STADIUM ,1,0.000209161
FELIX CHEVROLET ,FELIX CHEVROLET ,1,0.000209161
27TH ST & BUDLONG AV ,27TH ST & BUDLONG AV ,1,0.000209161
UNIVERSITY MALLWAY NORTH ,UNIVERSITY MALLWAY NORTH ,1,0.000209161
CHARLOTTE ST & CORNWELL ST ,CHARLOTTE ST & CORNWELL ST ,1,0.000209161
TEMPORARY RESEARCH FACILITY ,TEMPORARY RESEARCH FACILITY ,1,0.000209161
DOROTHY & HUGH EDMONDSON RESEARCH BUILDING ,DOROTHY & HUGH EDMONDSON RESEARCH BUILDING ,1,0.000209161
MUSEUM- NATURAL HISTORY ,MUSEUM- NATURAL HISTORY ,1,0.000209161
DOCKWEILER POST OFFICE ,DOCKWEILER POST OFFICE ,1,0.000209161
RAND SCHRADER OUTPATIENT CLINIC ,RAND SCHRADER OUTPATIENT CLINIC ,1,0.000209161
LDS INSTITUTE OF RELIGION ,LDS INSTITUTE OF RELIGION ,1,0.000209161
MANOR APARTMENTS ,MANOR APARTMENTS ,1,0.000209161
29TH ST & WALTON AV ,29TH ST & WALTON AV ,1,0.000209161
30TH PL &VERMONT AV ,30TH PL &VERMONT AV ,1,0.000209161
30TH ST & FLOWER ST ,30TH ST & FLOWER ST ,1,0.000209161
23RD ST & BONSALLO AV ,23RD ST & BONSALLO AV ,1,0.000209161
CORONER'S OFFICE ,CORONER'S OFFICE ,1,0.000209161
SOTO ST & LANCASTER AV ,SOTO ST & LANCASTER AV ,1,0.000209161
SECOND CHAPEL OF CHRIST ,SECOND CHAPEL OF CHRIST ,1,0.000209161
MCCLINTOCK & DOWNEY ,MCCLINTOCK & DOWNEY ,1,0.000209161
SOTO ST & VALLEY BL ,SOTO ST & VALLEY BL ,1,0.000209161
23RD ST & SCARFF ST ,23RD ST & SCARFF ST ,1,0.000209161
27TH ST & ORCHARD ST ,27TH ST & ORCHARD ST ,1,0.000209161
WINDSOR APARTMENTS ,WINDSOR APARTMENTS ,1,0.000209161
FRESH AND EASY ,FRESH AND EASY ,1,0.000209161
JEFFERSON BL & BUDLONG AV ,JEFFERSON BL & BUDLONG AV ,1,0.000209161
BETA THETA PI ,BETA THETA PI ,1,0.000209161
ST. VINCENT DePAUL CHURCH ,ST. VINCENT DePAUL CHURCH ,1,0.000209161
,,4781,
